MateriaCodigo,MateriaNombre,Creditos,Semestre,Periodo,Grupo,Modalidad,Sede,Docente,Aula,Dia,HoraInicio,HoraFin
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,LUNES,08:00,09:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,MIERCOLES,08:00,09:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,02-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,LUNES,10:00,11:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,02-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,MIERCOLES,10:00,11:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,03-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,MARTES,08:00,09:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,03-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,JUEVES,08:00,09:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,04-CAMPUS,PRESENCIAL,CAMPUS,BRAULIO BARRIOS ZUÑIGA,202-BLOQ I-INFORMATI,MARTES,14:00,15:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,04-CAMPUS,PRESENCIAL,CAMPUS,BRAULIO BARRIOS ZUÑIGA,202-BLOQ I-INFORMATI,JUEVES,14:00,15:59
SS200,PROGRAMACION DE COMPUTADORES I,3,2,2026-2,10-BANCO ING SISTEMAS,VIRTUAL,SEDE_BANCO,NDOC,NREF,VIERNES,18:00,21:59
SS300,PROGRAMACION DE COMPUTADORES II,3,3,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,AMILKAR JOSE HERNANDEZ OÑATE,301-INFORMATICA,LUNES,06:00,07:59
SS300,PROGRAMACION DE COMPUTADORES II,3,3,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,AMILKAR JOSE HERNANDEZ OÑATE,301-INFORMATICA,MIERCOLES,06:00,07:59
SS300,PROGRAMACION DE COMPUTADORES II,3,3,2026-2,02-CAMPUS,PRESENCIAL,CAMPUS,PATRICIA ISABEL ALVAREZ ORTEGA,301-INFORMATICA,LUNES,08:00,09:59
SS300,PROGRAMACION DE COMPUTADORES II,3,3,2026-2,02-CAMPUS,PRESENCIAL,CAMPUS,PATRICIA ISABEL ALVAREZ ORTEGA,301-INFORMATICA,MIERCOLES,08:00,09:59
SS301,ESTRUCTURA DE DATOS,3,3,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,MARTES,06:00,07:59
SS301,ESTRUCTURA DE DATOS,3,3,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,CARLOS EMILIANO OÑATE GOMEZ,202-BLOQ I-INFORMATI,JUEVES,06:00,07:59
SS301,ESTRUCTURA DE DATOS,3,3,2026-2,03-CAMPUS,PRESENCIAL,CAMPUS,BRAULIO BARRIOS ZUÑIGA,202-BLOQ I-INFORMATI,LUNES,14:00,15:59
SS301,ESTRUCTURA DE DATOS,3,3,2026-2,03-CAMPUS,PRESENCIAL,CAMPUS,BRAULIO BARRIOS ZUÑIGA,402-SALA INTERNET,MIERCOLES,14:00,15:59
SS462,PROGRAMACION DE COMPUTADORES III,3,4,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,ALFREDO DAVID BAUTISTA ROMERO,303-INFORMATICA,LUNES,08:00,09:59
SS462,PROGRAMACION DE COMPUTADORES III,3,4,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,ALFREDO DAVID BAUTISTA ROMERO,303-INFORMATICA,MIERCOLES,08:00,09:59
SS463,BASE DE DATOS,3,4,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,AMILKAR SIERRA ROMANO,303-INFORMATICA,LUNES,06:00,07:59
SS463,BASE DE DATOS,3,4,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,AMILKAR SIERRA ROMANO,303-INFORMATICA,MIERCOLES,06:00,07:59
SS500,ARQUITECTURA DE COMPUTADORES,3,5,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,MIGUEL ANGEL AROCA CERVANTES,404-SALA INTERNET,LUNES,16:00,17:59
SS500,ARQUITECTURA DE COMPUTADORES,3,5,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,MIGUEL ANGEL AROCA CERVANTES,404-SALA INTERNET,MIERCOLES,16:00,17:59
SS501,PROGRAMACION WEB,3,5,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,SADAINER FERNEY HERNANDEZ CHACON,301-INFORMATICA,LUNES,18:00,19:59
SS501,PROGRAMACION WEB,3,5,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,SADAINER FERNEY HERNANDEZ CHACON,301-INFORMATICA,MIERCOLES,18:00,19:59
SS502,INGENIERIA DE SOFTWARE I,3,5,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,PATRICIA ISABEL ALVAREZ ORTEGA,401-SALA INTERNET,LUNES,08:00,09:59
SS502,INGENIERIA DE SOFTWARE I,3,5,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,PATRICIA ISABEL ALVAREZ ORTEGA,401-SALA INTERNET,MIERCOLES,08:00,09:59
SS600,SISTEMAS OPERATIVOS,3,6,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,OSWALDO RUEDA CARREÑO,403-SALA INTERNET,LUNES,12:00,13:59
SS600,SISTEMAS OPERATIVOS,3,6,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,OSWALDO RUEDA CARREÑO,403-SALA INTERNET,MIERCOLES,12:00,13:59
SS601,MODELOS Y SIMULACION,3,6,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,ANDRES RENE PERPIÑAN RTEYES,LAB TECH I,LUNES,12:00,13:59
